年度,通し番号,緯度,経度,対応状況
27,2,35.346943,139.455876,2
27,4,35.348698,139.459338,0
27,5,35.346945,139.455888,3
27,12,35.337578,139.476124,0
27,13,35.331026,139.470156,0
27,14,35.334622,139.472134,0
27,18,35.336642,139.500588,0
27,21,35.334597,139.506967,0
27,25,35.397528,139.464593,2
27,26,35.388050,139.463662,0
27,31,35.329161,139.480506,0
27,32,35.329165,139.479656,0
27,33,35.329165,139.479656,0
27,34,35.325177,139.478631,0
27,35,35.317291,139.489626,0
27,36,35.318041,139.486327,3
27,38,35.314223,139.491664,0
27,41,35.312218,139.483692,1
27,46,35.339931,139.492787,0
27,47,35.339515,139.492841,3
27,48,35.338964,139.491993,0
27,51,35.408395,139.424827,0
27,54,35.405203,139.413586,3
27,55,35.405203,139.413586,0
27,60,35.337365,139.453369,3
27,63,35.328507,139.448828,0
27,64,35.325662,139.447803,0
27,68,35.368695,139.462810,0
27,71,35.364350,139.471734,3
27,72,35.368875,139.466025,0
27,74,35.410411,139.458029,0
27,75,35.412220,139.462114,0
27,77,35.417506,139.459721,0
27,79,35.362488,139.479475,0
27,80,35.362895,139.478970,0
27,81,35.361113,139.480864,0
27,84,35.361704,139.480242,2
27,90,35.360920,139.478876,3
27,91,35.370815,139.478854,1
27,92,35.369993,139.484980,0
27,94,35.368033,139.478943,3
27,100,35.361359,139.469049,3
27,101,35.363868,139.464165,0
27,102,35.355602,139.467482,0
27,103,35.359522,139.469789,0
27,104,35.363425,139.468621,0
27,105,35.398133,139.466472,3
27,106,35.403870,139.461558,0
27,108,35.385270,139.483933,0
27,109,35.387927,139.481094,0
27,111,35.379562,139.482529,3
27,113,35.384833,139.471495,0
27,114,35.381658,139.474006,1
27,115,35.381920,139.474789,0
27,117,35.387699,139.475172,0
27,118,35.389160,139.477773,0
27,119,35.385022,139.480827,0
27,120,35.384078,139.477733,0
27,121,35.386139,139.480405,0
27,122,35.334149,139.495420,3
27,123,35.327726,139.491075,0
27,124,35.327208,139.491295,0
27,126,35.331306,139.498937,3
27,131,35.398050,139.406396,0
27,132,35.371863,139.438937,3
27,133,35.371732,139.440117,3
27,134,35.354827,139.495911,0
27,136,35.355256,139.498110,0
27,137,35.353908,139.498915,0
27,138,35.352420,139.490890,0
27,140,35.365779,139.452541,0
27,141,35.369296,139.452294,3
27,143,35.370285,139.447702,0
27,149,35.358987,139.446847,0
27,1501,35.353019,139.482666,0
27,1502,35.356353,139.482720,0
27,151,35.350954,139.478243,3
27,152,35.353578,139.479545,0
27,153,35.358803,139.482473,1
27,1541,35.359337,139.480896,0
27,1542,35.359319,139.480553,0
27,155,35.355171,139.480167,0
27,157,35.354513,139.474517,0
27,158,35.375708,139.446809,2
27,160,35.375140,139.450982,0
27,166,35.316453,139.471819,0
27,169,35.319739,139.468763,1
27,172,35.320978,139.468865,2
27,173,35.319110,139.465362,0
27,174,35.320979,139.460235,0
27,175,35.318856,139.463143,2
27,176,35.321731,139.464764,0
27,178,35.323880,139.467390,0
27,181,35.324186,139.467588,1
27,182,35.323675,139.465798,0
